Q53 AKT74 A8 QJ4|AJ984 J8 QT6 K98|KT2 Q95 K754 T52|76 632 J932 A763
AT874 KJ7 K64 AJ|963 9843 Q T9876|KQ Q65 JT87532 4|J52 AT2 A9 KQ532
82 AK865 KQ3 AJ3|A9643 J AT94 K52|KQ75 T43 865 QT8|JT Q972 J72 9764
KQ87 A73 K5 QJ65|AJ 42 AJ832 K432|T9643 KQJ5 Q6 98|52 T986 T974 AT7
AK8 J95 AK6 JT53|QT6 832 JT94 AK7|754 AKQT 53 Q942|J932 764 Q872 86
AK97 AK64 J6 J53|T62 J32 Q953 K64|QJ53 Q95 A72 QT9|84 T87 KT84 A872
K63 AJ KJT54 AT7|Q97 KQT62 A92 Q5|A 987543 Q76 K83|JT8542  83 J9642
Q76 64 A85 AKQ42|T42 Q32 Q64 T753|AJ98 KJ75 T92 86|K53 AT98 KJ73 J9
A43 A43 AK83 Q32|J952 QJT8 74 KJT|KQ 765 J95 A9876|T876 K92 QT62 54
J76 KQ732 A4 AQ3|AK95 8 QT98732 9|T842 AT6  KJT852|Q3 J954 KJ65 764
KQ983 Q9 K96 KQ7|AJT K753 A52 A43|6542 A62 QT43 J9|7 JT84 J87 T8652
KQ4 A942 62 AQT9|A8652 7 AK54 J84|J9 KJ83 QJT8 732|T73 QT65 973 K65
KQJ8 Q76 K92 AJ6|64 92 A873 K9874|A7532 T83 QJ654 |T9 AKJ54 T QT532
53 J92 AK93 AK72|A9642 KQ75 7 J64|JT7 A3 QT8642 T3|KQ8 T864 J5 Q985
AK3 J842 AK5 Q86|QT742 KQT76  T43|95 3 QJ9632 AK52|J86 A95 T874 J97
AQ J95 AK52 J862|K74 KQ86 964 K95|JT982 A QJT73 T3|653 T7432 8 AQ74
87 A83 KQJ72 AQ4|43 9 A943 876532|KQJT962 T42 T JT|A5 KQJ765 865 K9
KQ6 KJ43 AKT7 95|AT732 87 6 AJ876| A92 98532 KQ432|J9854 QT65 QJ4 T
A862 AKQJ T84 J8|Q7 T764 QJ2 KQ52|JT94 85 K976 AT9|K53 932 A53 7643
AQ9 AJ73 KQ43 T5|T4 K9842 A9765 A|KJ82 5 2 KQ96432|7653 QT6 JT8 J87
K42 AQT5 A84 K98|96 J742 K53 JT63|QJ875 K8 J9 7542|AT3 963 QT762 AQ
AQ2 KJ9 K632 AT4|T4 QT83 QJ975 K9|KJ76 62 AT4 Q863|9853 A754 8 J752
KQT2 AK74 AT7 96|4 T532 KQ642 J73|J653 J9  AKQT852|A987 Q86 J9853 4
AT QJ98 KJ43 AQT|953 A7 T865 9873|QJ8764 62 A972 K|K2 KT543 Q J6542
A83 A72 J732 AQ2|QT92 J53 QT965 T|764 KQT9 A84 953|KJ5 864 K KJ8764
9853 KQJ AQ K982|AQJT42 T9764 6 4|6 852 KJT87542 A|K7 A3 93 QJT7653
AK82 K2 K54 A842|JT3 A9653 J732 Q|Q965 Q74 9 KJ765|74 JT8 AQT86 T93
A95 KQT6 K8 AT62|QJ6 J98742 T53 9|KT32 A53 94 Q854|874  AQJ762 KJ73
J2 KJ76 A53 KQJ5|95 AQT98 Q9 9832|A74 532 K862 T76|KQT863 4 JT74 A4
K7 K964 AKQ4 975|AT8432 QJ J3 AQT|QJ9 A8 752 K8632|65 T7532 T986 J4
KQJ KQJT7 K43 42|T543 A842 Q965 6|762 3 JT82 AKQ73|A98 965 A7 JT985
AKT KJ4 AT93 762|83 6532 K87 KQT4|J7654 AQT987 Q 5|Q92  J6542 AJ983
763 AT742 AK7 A2|AKT8 85 Q3 JT654|94 KQ6 T9854 K73|QJ52 J93 J62 Q98
K86 AJ A9865 A43|AJ95 Q732 KJ7 J5|Q32 K964 T KT987|T74 T85 Q432 Q62
KQ92 AT7 QT KQT6|A8 K982 986 AJ94|J543 Q6 AJ74 873|T76 J543 K532 52
A982 J3 QJ3 AKT5|KJ75 KQ6 KT7 J83|Q6 94 A9652 Q764|T43 AT8752 84 92
J92 AJT5 AQ6 KJ8|KQ86 6 JT52 Q976|5 K9842 K93 A432|AT743 Q73 874 T5
J532 KQJ AJ9 A52|764 A865 85 J963|T8 973 KT764 KQ8|AKQ9 T42 Q32 T74
K983 AK92 T9 AJ6|T75 J7 AK8764 52|AJ642 Q54 J K874|Q T863 Q532 QT93
Q2 AK3 K82 KJ865|JT9 JT652 QT764 |A863 Q74 53 Q742|K754 98 AJ9 AT93
AQ72 J64 AJ8 A84|K6 AQ97 T97 T953|J954 832 KQ6 Q72|T83 KT5 5432 KJ6
A875 KT8 97 AKQJ|K63 Q64 T532 983|J94 A97532 A84 5|QT2 J KQJ6 T7642
T32 A763 K74 AKJ|QJ6 K952 963 542|AK8754 Q4 JT2 96|9 JT8 AQ85 QT873
A64 T62 QJ AKQ54|Q7 974 A8654 J98|KT832 KQJ5 732 6|J95 A83 KT9 T732
KJ9 QT KT4 AQT42|T5 AK84 Q973 K96|Q762 J7632 A65 5|A843 95 J82 J873
KQ9 A97 QJ93 AJT|743 J62 762 9542|T6 Q854 AKT4 863|AJ852 KT3 85 KQ7
75 AK52 KJ6 AT42|T9 QJ98 7 QJ8765|AQJ84 743 T983 3|K632 T6 AQ542 K9
642 AQ AK73 KJT6|5 J643 J9652 Q95|KT9873 KT75 Q8 3|AQJ 982 T4 A8742
Q98 A5 KQ63 AJ93|75 QJ963 875 KT6|KJT3 T74 AJ4 Q42|A642 K82 T92 875
A85 AKQ9 K94 762|JT74 T84 A6 KT98|Q63 J73 T AQJ543|K92 652 QJ87532 
AQJ63 KQ3 A32 43|K52 874 KT9 T876|874 AJ96 8 QJ952|T9 T52 QJ7654 AK
A5 KT9 AJ72 QJ95|T742 J62 K964 82|K3 A754 T8 AT763|QJ986 Q83 Q53 K4
K962 K742 KJ2 KQ|T4 Q5 Q984 JT654|J875 A9 AT6 9732|AQ3 JT863 753 A8
A743 92 AK4 AJ94|92 5 QJ53 KQT876|8 AKQT643 876 52|KQJT65 J87 T92 3
Q7653 KQ7 A5 AJ4|J98 A432 KT962 9|A2 J9 J83 KT6532|KT4 T865 Q74 Q87
A4 AKT3 J52 KQ85|JT92 Q4 T764 J43|Q763 65 A3 AT976|K85 J9872 KQ98 2
KT6 KJT8 AK85 J7|Q97 53 J76 Q9543|8542 Q942 T32 AK|AJ3 A76 Q94 T862
AQ2 A8 KT764 AT6|743 J543 Q82 985|96 Q976 AJ93 432|KJT85 KT2 5 KQJ7
AQJ9 AKT3 62 JT7|843 Q987 K975 K2|T7 J42 AT4 AQ953|K652 65 QJ83 864
AJ6 K6 AQ6 J9862|T875 AJ8742 T82 |Q432 3 95 AQT743|K9 QT95 KJ743 K5
Q98 A763 AQ65 A6|KJT62 2 KJ98 J53| QJ854 73 KQT842|A7543 KT9 T42 97
987 AQ3 AQT2 A76|KJT643 K6 J85 T2|5 T8542 K96 KQ95|AQ2 J97 743 J843
QJ85 QT AK2 AT76|K93 K9763 953 85|AT2 A54 T86 K432|764 J82 QJ74 QJ9
K6 KQ92 JT85 AQ4|832 85 AQ764 JT2|AQ75 J64 932 K76|JT94 AT73 K 9853
QT2 A86 A82 AQ52|KJ85 Q52 K73 J87|4 JT3 QJT95 K963|A9763 K974 64 T4
KQ8 K3 KJ754 K74|972 JT975 Q9 J96|AJ 842 AT632 T52|T6543 AQ6 8 AQ83
AQT73 QJ2 KJ QJ7|J62 874 AT9 K653|K8 AT96 8654 T82|954 K53 Q732 A94
K53 K54 KQ8 AJ65|AT8642 2 975 QT3|QJ7 AQJT8 T6 972|9 9763 AJ432 K84
AQJ6 A962 KQ2 J5|52 T84 A975 QT93|K8 KQ5 T863 8742|T9743 J73 J4 AK6
A873 KQ6 KQ QT86|KJT42 J872 T87 2|Q965 T9 AJ94 A93| A543 6532 KJ754
T2 AK96 JT73 AK4|54 QJ7542 K865 8|AQ63 83 92 Q9765|KJ987 T AQ4 JT32
A98 AT97 QT8 AQ6|QT74 53 J432 T94|J53 QJ2 7 KJ8732|K62 K864 AK965 5
AK4 Q86 732 KQJ7|T763 K97 QJ84 63|QJ92 T KT65 A852|85 AJ5432 A9 T94
97 AK3 AKJ75 T93|KQJ2 87 QT4 K876|T64 JT952 3 AQJ2|A853 Q64 9862 54
T73 A2 A875 AKQ6|AK642 8 KQJT43 3|Q95 KQJ653 9 T98|J8 T974 62 J7542
J65 AQJ95 A3 AJ2|874 876 Q982 K54|AT32 K KJ654 T87|KQ9 T432 T7 Q963
965 AQ83 KQ62 AJ|KT2 KJ96 AJ9 Q63|A7 4 T875 KT9852|QJ843 T752 43 74
AQ85 A5 QJ52 Q92|764 KJ873 987 JT|JT Q62 A64 K7543|K932 T94 KT3 A86
53 AQ2 Q974 AK96|A862 853 AK65 T7|KQJT J6 J82 J542|974 KT974 T3 Q83
K2 AQ74 Q987 A76|AQJT974 832 A K8|865 KJ KJ6 J9543|3 T965 T5432 QT2
A865 AKJT K82 J7|KQT 8762 Q AK963|432 4 AJ97643 Q2|J97 Q953 T5 T854
A76 AJ KJ843 Q43|Q432 KT532 52 62|T98 986 A KJ9875|KJ5 Q74 QT976 AT
KQT 854 K8432 AK|A853 QJ2 76 JT97|9 AK763 JT5 8652|J7642 T9 AQ9 Q43
Q86 Q8642 K8 AKQ|A42 975 J65 JT75|KT7 KJT3 Q74 962|J953 A AT932 843
KT54 QJ63 AJ AQT|83 K2 QT9832 742|J976 T9 K5 KJ953|AQ2 A8754 764 86
KQ2 AKT84 QJ4 82|T97543 Q52 T A73|J J973 K953 QT54|A86 6 A8762 KJ96
K9 AKJT6 AT5 J83|Q843 32 K8 KQT62|AJ765 Q874 973 7|T2 95 QJ642 A954
J7 KQJT KJ7 KJ42|532 832 Q85 A963|AT98 A9754 2 T75|KQ64 6 AT9643 Q8
Q2 A76 AT82 AK96|AJT9743 54 53 54|K865 832 KJ97 JT| KQJT9 Q64 Q8732
Q92 K865 KJ92 AQ|K84 QJ72 A K9752|A65 A93 8653 864|JT73 T4 QT74 JT3
AJ7 A653 AJT4 J5|Q3 KT92 KQ976 74|K98542 QJ 5 K982|T6 874 832 AQT63
93 KT3 AK83 AJ54|5 QJ96 652 QT732|AKT872 874 7 K86|QJ64 A52 QJT94 9
KQT 864 K6 AKJ64|42 KJT52 QT93 98|A5 A73 J8752 752|J98763 Q9 A4 QT3
Q32 AT863 AT AQJ|7654 K4 KJ32 842|KT J9752 874 K95|AJ98 Q Q965 T763
AQJ32 753 Q3 AQ6|K8654 J K8764 J4| K986 A52 KT8532|T97 AQT42 JT9 97
Q9763 KQ Q74 AQ8|JT4 T85 T853 K72|A852 64 K JT9543|K AJ9732 AJ962 6
K872 AKT KJ3 Q65|4 QJ64 Q86 K9432|963 985 A742 A87|AQJT5 732 T95 JT
A7 KT76 Q94 AQ32|J92 A5 J8732 KT7|Q86543 Q42 A5 65|KT J983 KT6 J984
AJT9 AQ86 K95 K7|8 K7532 J842 985|Q643 T94 AQT JT6|K752 J 763 AQ432
AK8 876 AKQT2 J8|Q AKQJ5 6 T97542|J73 T32 8743 AK6|T96542 94 J95 Q3
AKT7 AJ7 KJ3 942|J94 KT9632  KQT5|Q82 84 AQ842 J83|653 Q5 T9765 A76
AK98 AK5 954 KT7|4 32 A8763 AJ653|QJT7632 JT7 QJ 8|5 Q9864 KT2 Q942
K7 943 A54 AKJT4|Q832 KJT8 K976 6|AJT954 62 QT3 Q9|6 AQ75 J82 87532
AK7 842 AK987 K6|Q432 Q963 J5 Q85|JT85 KT Q432 AJ4|96 AJ75 T6 T9732
A83 AT65 T6 AKQ5|KQJT7 K87 J3 J94|5 Q43 AK7542 872|9642 J92 Q98 T63
AK5 A9854 J5 AJ6|Q Q732 KQT864 85|JT762 KT6 3 KQT3|9843 J A972 9742
JT96 KQT AK76 A9|K74 76 JT9 Q7652|3 A842 Q43 KJT43|AQ852 J953 852 8
A863 75 AKJ2 A65|QJT95 Q2 QT75 Q3|K74 AK98 983 T72|2 JT643 64 KJ984
AQJ42 A42 T73 A8|K9875 J8 J9 QT63|63 9753 AQ82 K92|T KQT6 K654 J754
AQ3 AQ984 97 KQ8|T8 JT AT64 A9732|KJ96 K76 K82 J64|7542 532 QJ53 T5
AK974 QT8 AT5 K5|QT52 AK Q83 J984|6 J964 KJ76 A762|J83 7532 942 QT3
KJT KJ A54 KT987|AQ987654 QT6 Q J| A98543 K3 A6542|32 72 JT98762 Q3
K72 AT86 KQJ K43|A9 KQ5 97 QJ9872|QT843 43 A653 AT|J65 J972 T842 65
AK953 A65 J7 KT7|QT84 KT7 Q93 632|J6 J832 KT64 AQ9|72 Q94 A852 J854
KT6 AKT7 KQ5 J95|J2 Q532 876 K763|A43 J64 432 AT84|Q9875 98 AJT9 Q2
Q3 AJ84 J98 AKJ9|JT86 KT962 A632 |K542 Q KQT7 6542|A97 753 54 QT873
K74 65 KJT AKQ85|QJ KQ972 A54 732|A532 AJT84 86 T4|T986 3 Q9732 J96
852 KQ7 AJ82 AQ3|AT A4 543 J86542|KJ96 8632 T97 K9|Q743 JT95 KQ6 T7
QT983 T72 AK AK4|75 A5 JT654 J952|AKJ62 K9843  T87|4 QJ6 Q98732 Q63
84 K743 AKQ5 KT2|AQ952 QT962 92 8|JT763 AJ T6 QJ97|K 85 J8743 A6543
KQT85 K7 AQ2 K52|92 JT98 J974 AT6|A3 Q542 T63 J983|J764 A63 K85 Q74
KQJ KJT 943 KQ62|943 A984 KQJT 74|A Q7532 A85 T983|T87652 6 762 AJ5
QJ32 Q743 K6 AKJ|A9765 82 Q53 763|KT KJ965 A972 T8|84 AT JT84 Q9542
KQ32 QT84 Q4 AQ9|854 A52 JT2 6532|JT97 9763 A9 KT8|A6 KJ K87653 J74
AKQ75 A87 654 Q4|86 JT632 Q8 J532|T3 KQ954 K973 T8|J942  AJT2 AK976
KQ4 A6 AJT95 J64|J97 J4 Q87632 K5|A8652 K952  9732|T3 QT873 K4 AQT8
AT52 53 K98 AKQJ|J864 AJ T653 762|KQ KT9742 QJ4 T4|973 Q86 A72 9853
AT3 9863 KJ AQJ3|K42 AT52 53 K942|Q75 K7 AQ97642 T|J986 QJ4 T8 8765
KT63 KQ94 K9 AQT|Q7542 J8 AQJ8 42|A8 T75 652 KJ753|J9 A632 T743 986
K8 KJ4 AQJ KT742|QT9754 Q3 543 A8|AJ63 T9865 KT2 Q|2 A72 9876 J9653
876 A97 AK54 A75|A95 T54 T962 T84|QT432 Q6 Q87 Q92|KJ KJ832 J3 KJ63
AJ97 63 AQT KQT4|KT542 92 832 962|83 AQT8 J754 J53|Q6 KJ754 K96 A87
KQ7 65 AKQ95 Q72|643 KQ98 6432 A3|A852 AJT3 8 JT86|JT9 742 JT7 K954
83 AKQ98 Q83 A94|JT5 542 A952 Q72|AK9762 JT7 J J86|Q4 63 KT764 KT53
A75 AJ95 K87 A74|J43 KQ874 963 T3|K986 2 AQJ J9865|QT2 T63 T542 KQ2
KJ3 AT72 A82 QJ4|A76 KQ96 J5 K985|Q9842 84 KQ763 7|T5 J53 T94 AT632
KJ8 K874 54 AKJ8|AT7 JT6 QT872 43|Q32 A92 J96 Q965|9654 Q53 AK3 T72
AQJ K842 A72 Q74|K94 J965 KQ5 J53|752 AQT JT86 A92|T863 73 943 KT86
AQ6 AT743 A2 K97|KJ854 KQ95 K3 J8|T72 J6 Q965 A432|93 82 JT874 QT65
Q72 AKQ2 AJT JT8|KJT8 T9876 75 Q9|A953 J KQ98642 6|64 543 3 AK75432
K642 AJ5 AQ9 KT2|875 Q76 J32 8654|AJT3 K92 T875 Q9|Q9 T843 K64 AJ73
AKJ5 K983 JT6 A8|9632 T742 A53 K7|Q AJ65 87 QT9652|T874 Q KQ942 J43
K42 AKT4 T972 KQ|T75 6532 A8 9743|QJ3 J87 K653 J62|A986 Q9 QJ4 AT85
QJ74 KJ9 83 AKQ5|T532 A843 A965 8|K9 Q652 J7 JT976|A86 T7 KQT42 432
AK3 75 Q82 AKT98|84 9862 JT953 76|J65 JT43 A4 J542|QT972 AKQ K76 Q3
AQ42 AJ8 942 AJ9|T9853 94 T 86532|7 KQT653 K53 KT4|KJ6 72 AQJ876 Q7
Q9 AQJ A76 AT743|K632 T532 K532 5|A874 9764 8 KJ62|JT5 K8 QJT94 Q98
AT83 AT6 QT8 KQ7|KJ654 J9742 5 53|Q2 K KJ97642 T94|97 Q853 A3 AJ862
73 QJ52 AQT4 AK9|KQJ98  6532 JT84|52 AT843 KJ8 765|AT64 K976 97 Q32
AK KQT4 A732 973|T876 9862 QJ 865|QJ532 3 985 KQ42|94 AJ75 KT64 AJT
AQ7 K3 A74 QT763|K8643 AJ974 5 94|J5 Q65 JT83 AK85|T92 T82 KQ962 J2
A74 K52 AK875 Q9|32 4 J43 AT76532|KQ98 JT86 62 K84|JT65 AQ973 QT9 J
AQ7 AJ8 J75 K842|86543 75 42 QT96|2 T43 AQ863 A753|KJT9 KQ962 KT9 J
J82 KT4 AJ5 AQ62|AT9 8 T82 KJT873|7653 AJ7 KQ643 9|KQ4 Q96532 97 54
Q43 JT KQ872 AK7|J6 AQ4 5 QJT8543|AT8 K873 JT643 2|K9752 9652 A9 96
K2 A87 AKJ5 Q853|Q98 QT95 Q92 JT4|AJT KJ6432 T87 9|76543  643 AK762
J8 A42 AT75 AQ92|A97643 8 QJ642 K|Q2 Q63 K983 J843|KT5 KJT975  T765
842 KQ96 AK8 A42|A953 T3 JT3 J983|QJ76 AJ72 Q5 T75|KT 854 97642 KQ6
T982 AQ4 AKQ7 Q4|A65 JT6 853 K863|KQJ74 8732 T JT7|3 K95 J9642 A952
QJ5 A7 AT52 AQ86|A82 T964 K3 K543|K764 QJ83 QJ7 T7|T93 K52 9864 J92
AT62 KQ64 QJ9 A3|K743 T8 876 JT97|J5 753 K54 KQ864|Q98 AJ92 AT32 52
K93 AK K974 A943|QJ62 T72 AQ82 T5|A54 9864 J3 QJ82|T87 QJ53 T65 K76
KQ8 KQ875 AQ5 92|JT4 A KJ764 AJ85|A9652 J63  KT743|73 T942 T9832 Q6
8732 AKQ6 Q4 A65|A5 J98543 A3 987|QJ 72 J865 KJ432|KT964 T KT972 QT
Q64 AK963 J6 KQ5|J75 874 K87 T972|A932 J52 QT542 J|KT8 QT A93 A8643
A2 A52 A8753 A87|954 KT3 642 QT53|KQJT3 9764 QJ J9|876 QJ8 KT9 K642
QT2 A543 AK64 A5|KJ9 8 Q53 JT9762|A653 T7 T982 KQ3|874 KQJ962 J7 84
AQ3 JT64 AKQ4 75|5 A98 972 KQT642|KJ9864 Q7 J53 83|T72 K532 T86 AJ9
A84 AJT64 K9 A86|KQ95 9875 AT2 Q5|2 KQ3 7643 KJ432|JT763 2 QJ85 T97
A72 Q876 AJT5 A4|965 K32 K87 QJ98|Q84 T9 Q96 KT753|KJT3 AJ54 432 62
AJ3 A95 A9 QJ987|T9862 Q84 QJ52 4|KQ75 732 T643 K3|4 KJT6 K87 AT652
AKQT3 87 J94 AQJ|64 KQ63 A73 T965|J975 AJ42 Q6 K32|82 T95 KT852 874
KJ97 AKJ4 Q75 K9|A2 Q8732 T3 J843|85 T96 A964 AQT2|QT643 5 KJ82 765
K9 KJ4 AJ632 K62|Q3 QT KQT98 AJ98|AT72 A8 754 QT73|J8654 976532  54
952 KT2 KQJ6 AKJ|KJ87 7654 A542 4| AQJ83 T98 QT852|AQT643 9 73 9763
Q9 Q643 AKT3 A76|AJ T975 987654 3|KT743 AJ8 2 JT54|8652 K2 QJ KQ982
K6 T74 AKJ5 A932|J97 65 Q8432 Q87|Q54 AJ932 76 JT5|AT832 KQ8 T9 K64
AKT Q6 A96 A9853|75 93 KJ842 KJT7|QJ643 54 QT5 Q62|982 AKJT872 73 4
94 Q94 AKT93 AQ8|JT83 KJ852 J4 76|AQ762 A73 8762 T|K5 T6 Q5 KJ95432
AQJ6 KJ86 32 KJT|532 T543 KJT5 Q5|974 AQ92 96 A732|KT8 7 AQ874 9864
AQ652 A74 Q95 A8|KT93 QT92 A4 KJ2|J84 K5 KT863 963|7 J863 J72 QT754
J97 K7 AKJ65 A95|5 AT843 Q87 7642|K432 Q62 T943 Q3|AQT86 J95 2 KJT8
AJ954 Q94 KJ7 A4|T8 K82 Q654 KQJ7|KQ72 T765 A82 62|63 AJ3 T93 T9853
KJ87 KJT4 AKT Q7|A43 98732 6 K643|T652 AQ6 J854 52|Q9 5 Q9732 AJT98
A8 AQ873 A92 K86|T962 T42 JT5 973|Q5 KJ65 843 AJ42|KJ743 9 KQ76 QT5
AQJ Q72 987 KQJ2|98654 AJ3 JT4 76|732 KT86 A63 984|KT 954 KQ52 AT53
A9 AQ42 KT94 KT7|Q875 J87 QJ62 J4|32 T95 A753 A653|KJT64 K63 8 Q982
KT43 J9 KJ7 AK84|Q62 A5 A65 JT653|A75 KT863 QT93 Q|J98 Q742 842 972
A6 Q42 AQ72 A974|KQJ92 K865 JT96 |T54 AJ93  KQT853|873 T7 K8543 J62
T9642 AQ3 K9 AQ5|Q85 96 QJ75 T642|3 KJT54 AT4 J983|AKJ7 872 8632 K7
AJ86 AK3 KQ5 762|7 9865 AJT972 AJ|KQT542 JT 8 KQ85|93 Q742 643 T943
KT K642 AK3 KJ72|9865 85 J92 QT95|AJ3 T93 QT84 A64|Q742 AQJ7 765 83
A95 J8 J75 AKQT7|J2 AQ53 K8632 98|8643 K72 A94 J54|KQT7 T964 QT 632
KJ95 QT3 A5 AQ93|AT42 K985 JT 742|Q86 J2 KQ976 JT8|73 A764 8432 K65
AJ96 AQ93 A7 432|42 J652 QJ94 K86|KT53 7 532 AJT95|Q87 KT84 KT86 Q7
A82 AT963 A64 AT|43 Q72 QT972 752|J9 KJ8 53 KQ9863|KQT765 54 KJ8 J4
KJ73 QT3 A643 KQ|QT9 J42 JT2 9763|A42 865 Q97 JT42|865 AK97 K85 A85
A964 A96 AQJ9 T6|KQT5 8742 T754 A|J82 KJ K32 J8732|73 QT53 86 KQ954
AQ4 QJ6 QJT7 AJ3|K975 54 843 Q762|32 AKT93 952 854|JT86 872 AK6 KT9
KQ T64 AQ43 A764|8543 AJ987 K2 95|962 K3 J987 QJ82|AJT7 Q52 T65 KT3
AJ63 AK4 K98 Q52|2 QJT532 Q AK763|QT84 98 AJT52 T8|K975 76 7643 J94
KT7 KJ65 AQ5 K98|AQJ982  K72 AT72|43 AQ732 T98 QJ6|65 T984 J643 543
QJ93 A43 KT KQJ3|A64 9 J7543 AT84|KT72 KJ865 82 75|85 QT72 AQ96 962
AJ9 KQT AK853 86|643 9752 J6 JT32|QT752 J3 T4 A754|K8 A864 Q972 KQ9
KJT3 K5 QT74 AK5|Q872 QJT6 AK53 T|A9654 A7 8 87642| 98432 J962 QJ93
KQJ3 JT6 AQ9 Q74|A72 75 KJ73 J953|T8 AK93 T865 KT2|9654 Q842 42 A86
QJ AJ2 752 AKJ83|A762 T943 Q96 Q7|83 K AKJ843 T542|KT954 Q8765 T 96
A5 Q64 AKQT 9865|J72 93 J83 AKQT3|QT863 AJ852 642 |K94 KT7 975 J742
AK6 J32 74 AK643|872 K976 KQT96 5|JT95 A8 A82 QT97|Q43 QT54 J53 J82
AQ9 A6542 A3 Q65|JT5432 JT J9 742|76 Q9873 654 AK9|K8 K KQT872 JT83
A8 AQT73 K95 Q52|K975 95 AQ6 AJT4|J432 K84 4 K9763|QT6 J62 JT8732 8
K72 K93 J4 AKQ98|J93 Q62 AK852 32|864 AJ85 Q7 JT64|AQT5 T74 T963 75
JT8 K65 KJ95 AK7|AQ953 Q3 T6 T532|K7 T982 A732 986|642 AJ74 Q84 QJ4
K86 A7 AJ97 AJT9|JT72 J64 T83 K84|AQ9543 QT9 54 63| K8532 KQ62 Q752
AK3 AT Q85 QT964|T54 87643 72 AKJ|Q872 K2 KJ9 8753|J96 QJ95 AT643 2
KQ3 K853 AT3 A92|T76 AT Q85 JT873|52 J94 KJ642 KQ6|AJ984 Q762 97 54
AK52 862 AK2 Q97|Q984 A JT983 A82|73 KQ754 Q764 JT|JT6 JT93 5 K6543
J85 AKQT4 73 AJ8|K72 9865 QJT T73|Q93 3 A9865 KQ54|AT64 J72 K42 962
97 AKT2 J92 AKJ4|AJ83 864 Q73 Q76|Q6 J953 A854 532|KT542 Q7 KT6 T98
KQT87 AK Q52 QT6|J64 Q832 K73 A85|A93 T965 964 K92|52 J74 AJT8 J743
KQJT8 J62 K5 AQ3|9 AQ97 QJT42 T95|A6432 K83 A8 862|75 T54 9763 KJ74
AQ8 AT86 AJ73 98|J94 975 KT64 KQ6|7532 KJ2 Q92 AT2|KT6 Q43 85 J7543
AKT6 T6 AJ32 A73|852 52 KT865 642|J4 QJ93 Q74 QT98|Q973 AK874 9 KJ5
J4 KT9 AK863 KJ5|AKT852 AJ6 Q75 Q|Q3 Q75 JT42 A983|976 8432 9 T7642
K3 AQ92 AK64 T42|T6 K865 Q8 AK873|A82 J JT9753 QJ5|QJ9754 T743 2 96
KJ2 QJ76 A932 KJ|65 K54 Q7 AQT843|83 A82 KJ864 765|AQT974 T93 T5 92
J3 A983 AK62 KT2|Q74 KJ7642 QT8 9|KT82 Q 97543 Q54|A965 T5 J AJ8763
J43 AKJ3 KT5 KQ4|QT6 QT964  J9862|A85 872 Q742 A73|K972 5 AJ9863 T5
A9 J9753 AKT A92|QJ2 82 Q94 KJ874|KT754 A 86 QT653|863 KQT64 J7532 
AJ32 K3 Q65 AJ64|T AJ75 AKT7 T875|KQ5 QT9862 94 Q2|98764 4 J832 K93
Q6 KT842 AK3 A62|T742 QJ976 764 4|K9853 A QJ92 J98|AJ 53 T85 KQT753
A7 T984 AQ3 KQJ7|T8 AQ32 K8 T6532|KQ54 KJ75 JT64 4|J9632 6 9752 A98
J8 AK5 KT85 A872|T7 J9764 QJ6 K65|KQ64 Q2 9742 JT3|A9532 T83 A3 Q94
AK KQ63 AJ83 863|T93 J942 QT6 952|J8754 AT K9742 J|Q62 875 5 AKQT74
AK3 KT53 J9 A953|QJ97 2 K87653 K8|T642 AJ9874 Q4 6|85 Q6 AT2 QJT742
JT AQ8 AQT7 KT94|A852 5432 K54 Q5|KQ743 J7 J2 A873|96 KT96 9863 J62
K754 AT KQJT A32|AQ J63 8642 K876|J982 K84 973 QJ9|T63 Q9752 A5 T54
A873 KQJ KJ8 Q87|T92 852 43 T9642|KQ5 9643 Q762 J3|J64 AT7 AT95 AK5
AK95 KJ9 T92 KJ7|QJ642 QT765 QJ5 |T A84 K8764 9862|873 32 A3 AQT543
K74 T643 A83 AKJ|Q985 982 K96 T85|J62 A QJ752 7432|AT3 KQJ75 T4 Q96
AK92 K85 A93 J92|JT7 AQT32 764 Q4|Q54 94 KQT KT863|863 J76 J852 A75
AQ72 64 A62 AJ94|KJ654 K72 J9 K32|983 AQT9 Q43 T76|T J853 KT875 Q85
K74 KQT85 A76 A5|T5 J73 KJ3 QJT84|AQJ862 2 Q542 92|93 A964 T98 K763
A965 AQ7 A975 J7|QT T98532 Q8 K43|J432 J JT4 AQT82|K87 K64 K632 965
873 AKJ76 K42 AQ|T64 Q98 J3 KJ872|AK92 T2 Q9876 T5|QJ5 543 AT5 9643
Q976 AK5 A963 KJ|K853 J742 J752 6|AJ QT6 T AT98542|T42 983 KQ84 Q73
K72 AQ3 T53 AQ82|93 T8764 J JT943|T8654 J95 A98 K7|AQJ K2 KQ7642 65
AQ743 J73 A74 KQ|9 AT865 KJT6 T92|KJ8652 Q94 53 J6|T K2 Q982 A87543
KQ982 K82 AK7 93|T643 QT753 9 AJ2|J7 A4 QT543 QT84|A5 J96 J862 K765
QT86 AKT9 A84 KT|3 Q8532 JT6 A986|KJ72 4 KQ752 J52|A954 J76 93 Q743
AQ8 KQ63 KJ94 T2|KJT654 J9 T2 A43|9 8754 A753 KQJ9|732 AT2 Q86 8765
