K643 AKJ J94 KQ3|JT2 85 KT75 T875|AQ5 Q9632 Q832 A|987 T74 A6 J9642
AJT92 AJ8 A5 J43|KQ3 QT76 T9873 T|75  KQJ62 AQ9865|864 K95432 4 K72
AK72 T7 QJ7 KQT9|JT K432 T64 J632|Q9653 96 AK52 A5|84 AQJ85 983 874
A87 KQ72 KJ8 Q93|K64 3 QT943 J862|QJT2 AT65 A5 K54|953 J984 762 AT7
Q85 AK632 732 AK|T62 9754 J98 985|AK9 QJT Q4 QJ763|J743 8 AKT65 T42
A3 KT954 KQ3 K82| 72 J8642 AQJ975|QT AQJ3 AT975 T4|KJ9876542 86  63
K97 KJT4 J3 AKT4|QJT64 763 94 965|32 A985 A875 QJ3|A85 Q2 KQT62 872
72 QT954 AKQ A65|KJ985 6 T7 QJ932|AQ64 A87 J85432 |T3 KJ32 96 KT874
JT52 KQJ2 A3 AQ9|8 T653 KJT965 T6|A3 A984 874 K852|KQ9764 7 Q2 J743
AK7 AJ92 J62 Q76|T8542 T864 A8 43|QJ93 75 K95 AJ92|6 KQ3 QT743 KT85
A98 AJ652 KQ Q97|KQ32 Q8 T973 KT8|65 KT4 AJ86 AJ53|JT74 973 542 642
762 AKT3 K8 AJ93|AKJ983 QJ 932 64|Q5 7642 AQJ5 Q52|T4 985 T764 KT87
86 AQJ2 KJT AJ42|Q 63 985 KQT8653|AKT4 K987 A6432 |J97532 T54 Q7 97
J8 AK872 AJ2 QT9|5 QJT K9873 A873|AK764 96 QT6 K52|QT932 543 54 J64
K64 85 AKJ KQJT2|T97 T3 Q764 9743|AQ83 AQJ6 832 A6|J52 K9742 T95 85
K96 9765 AKJ9 A7|J8532 A2 T863 64|AT4 KQJ4 5 QT852|Q7 T83 Q742 KJ93
942 KJ54 AQJ KQ3|A QT962 8432 862|KJ875 87 K97 AJT|QT63 A3 T65 9754
AQ4 T8 AK62 KT74|KT65 Q95 Q97 Q92|J9 AKJ7643 JT J8|8732 2 8543 A653
QT86 AKQ9 A43 Q4|5 865 QJ5 KJ7532|KJ97 T42 K87 A86|A432 J73 T962 T9
J9 QJ8 AKQ9 QJ54|K54 A63 J652 K72|A87 K95 T83 A986|QT632 T742 74 T3
A8 K83 AJ632 K83|KJ96 JT9642  Q54|Q743 A KQT54 AT7|T52 Q75 987 J962
KQ5 86 AKJ4 K876|J842 J432 T972 3|AT3 K7 Q863 QT42|976 AQT95 5 AJ95
K96 K97 KQ74 A72|JT72 T652 865 J3|3 AQ843 AT93 KQ5|AQ854 J J2 T9864
A53 AT6 KJ95 K87|KQ642 942 AT76 5|87 KJ853 Q AJT42|JT9 Q7 8432 Q963
A64 AK4 QT972 A9|83 J93 K6543 T85|KQJ QT652 AJ 642|T9752 87 8 KQJ73
QJ9 J73 K9 AKQJ8|T87 T942 AJ743 2|AK62 KQ85 QT5 75|543 A6 862 T9643
AKT4 Q42 KT65 A5|Q975 KJ6 Q82 J83| AT973 AJ3 K9762|J8632 85 974 QT4
QJ73 A74 AKQ9 J8|K92 Q852 T8642 5|6 KT963 J53 AK96|AT854 J 7 QT7432
A95 A93 A652 AT7|JT62 8542 73 K53|Q87 KQJ7 KJ8 864|K43 T6 QT94 QJ92
A985 J7 AQ87 AT7|62 4 T642 KQ8654|KQ73 KQT86 KJ3 J|JT4 A9532 95 932
K8 965 AK4 KQJT9|T975 K7 T763 A82|AQ4 AQT42 J95 73|J632 J83 Q82 654
AT K764 AK6 K874|9854 J85 Q5 JT53|K72 AT32 JT98 A9|QJ63 Q9 7432 Q62
AQ643 Q87 AT A84|J8 JT9632 92 T53|97 AK Q8764 K962|KT52 54 KJ53 QJ7
J5 Q53 AK87 AJ92|Q974 KJ7642 52 T|A32 AT QJT63 K84|KT86 98 94 Q7653
QT2 AQ942 KQ K92|93 K876 8532 JT5|AKJ6 J AJ9764 87|8754 T53 T AQ643
AT87 K96 A543 AJ|K5 QJ3 QJ876 654|63 AT4 KT92 KQ93|QJ942 8752  T872
AKQJ9 A62 95 JT4|7 QT83 8742 9732|82 95 AK63 AKQ85|T6543 KJ74 QJT 6
KQ2 QJ6 KQ98 KT5|A98 T54 J7643 J2|JT6 K A52 AQ9643|7543 A98732 T 87
A763 K7 KQ98 KJ8|K5 QJ9643 2 Q976|QJ98 AT5 A6 AT54|T42 82 JT7543 32
AKJT5 K7 Q64 Q43| J9532 975 AKJT6|Q32 A64 AKJT 752|98764 QT8 832 98
J4 AQJ QJ87 KJT4|A7532 853 42 973|Q9 KT62 A963 AQ6|KT86 974 KT5 852
AK3 AQ9 KJ982 T8|7 J6432 T3 KQ632|QJ952 K85 AQ AJ7|T864 T7 7654 954
Q94 Q4 AJ65 AK87|K73 K98532 87 94|AJ85 AT KT JT532|T62 J76 Q9432 Q6
A3 A42 AJT62 Q43|96 KQJ98763 9 85|KJT54  Q53 AJT72|Q872 T5 K874 K96
AQT AJT83 Q9 Q74|3 542 75 AKT9862|KJ974 76 AKJ64 5|8652 KQ9 T832 J3
AQJ63 42 KJ5 A84|72 KJ875 QT9 T53|T985 AQ A732 KJ2|K4 T963 864 Q976
A987 A76 KT9 KJ4|532 J83 J73 QT53|KQJ6 KT54 86 A82|T4 Q92 AQ542 976
JT7 QJT9 AK53 A7|8 K8752 Q2 85432|AQ6542 A3 J864 T|K93 64 T97 KQJ96
AJ985 A92 K7 KQT|32 4 J9853 A9754|T7 KQ8753 AQ62 6|KQ64 JT6 T4 J832
KT3 J3 AKT95 AT4|984 Q97 J84 Q973|2 AKT86 Q63 KJ52|AQJ765 542 72 86
JT65 AKQ2 86 AQ4| 87643 K95 T9832|AKQ9743 95 A J65|82 JT QJT7432 K7
AKQ J7632 AT7 K4|T95 Q94 J543 A63|3 AKT8 K862 JT85|J87642 5 Q9 Q972
A96 AKQ7 T53 QT2|T7 98654 9864 A8|KJ532 T AKQJ 943|Q84 J32 72 KJ765
KQJ86 KJ5 A96 QJ|53 AT94 87542 T6|AT2 7632 KT AK95|974 Q8 QJ3 87432
J75 AJ85 AQ42 A6|KT9842  9876 J92|A KQ973 K3 Q8753|Q63 T642 JT5 KT4
A74 Q983 QT AKQ5|JT96 AKT64 54 82|KQ3 J5 KJ763 J73|852 72 A982 T964
KT73 Q974 AQ8 A6| K8632 T97652 Q4|AQJ42 T K3 J8732|9865 AJ5 J4 KT95
Q62 AK6 KJ942 A7|95 Q532 653 9543|A843 87 AQ KJT86|KJT7 JT94 T87 Q2
KQ94 A76 AT A985|A876 54 J765 KT2|J5 KJ98 KQ2 J763|T32 QT32 9843 Q4
AKQ KT963 T2 K75|9 872 A86 AQJT62|J5 AQ54 KQJ73 94|T876432 J 954 83
QT86 AK5 85 AK95|972 J9842 J9 763|AK3 T73 AQ73 QT4|J54 Q6 KT642 J82
AT75 K97 A9 AJ95|98 A6 QT832 QT82|KQJ432 Q4 KJ76 4|6 JT8532 54 K763
865 AK642 KT6 KQ|J732 T95 J4 9873|AQT9 J8 753 AJT6|K4 Q73 AQ982 542
AKT7 AK82 93 K52|QJ84 J7 T84 AT64|9 Q4 AKQJ652 Q73|6532 T9653 7 J98
AT6 A975 K7 A743|KQ843 63 Q8542 T|J95 K8 AJT3 KJ86|72 QJT42 96 Q952
AJ9 AQT32 K6 K97|K8432 7 82 T8632|Q765 KJ85 A95 Q4|T 964 QJT743 AJ5
Q84 AJT42 QT6 AK|92 Q876 AK4 Q542|AK76 K95 52 JT76|JT53 3 J9873 983
AK765 KJ6 Q93 K2|Q984 T973 6 AT75|J2 8 AKJ2 QJ9864|T3 AQ542 T8754 3
83 AK864 A87 KJ4|T965 53 KT654 86|KQJ742 QT J QT93|A J972 Q932 A752
KJ AT8 AQ92 QJ85|T2 Q97653 7 9643|Q8764 KJ K63 K72|A953 42 JT854 AT
Q9 A54 AQJ6 Q984|JT862 KJ873 K5 3|AK3 Q92 T987 KT6|754 T6 432 AJ752
AT862 Q8 K73 AK7|74 T73 Q982 QJ95|KQ9 AJ42 A54 432|J53 K965 JT6 T86
AQT6 T86 AKT K73|K95 974 98632 42|87 KQ2 QJ54 QJ65|J432 AJ53 7 AT98
QJT4 AT9 AK5 K63|K9873  Q9743 852|A2 QJ842 JT6 A97|65 K7653 82 QJT4
AJ2 KJ4 96 KQJ53|53 T985 KJ4 A842|Q97 A73 AQT83 T6|KT864 Q62 752 97
AQ64 QJ8 94 AK74|T982 K95 K75 J53|J75 A62 AQT3 982|K3 T743 J862 QT6
KQT6 T32 A5 AQ98|AJ843 J97 K6 J73|9 AKQ5 QT84 6542|752 864 J9732 KT
AK8 AT98 QT93 K9|973 J4 54 Q76432|J6542 Q6 A872 AT|QT K7532 KJ6 J85
K952 AK7 AQ73 62|T84 J53 J984 A97|AJ76 QT4 K6 J843|Q3 9862 T52 KQT5
A954 AQ53 K5 Q75|QJT6 J4 T98 AJ93|K3 K96 AJ64 KT84|872 T872 Q732 62
AJ4 KT8 QT74 AK4|T9753 J63 82 JT5|KQ AQ972 KJ5 972|862 54 A963 Q863
AK94 K82 54 AJ53|Q8 974 T983 KT94|JT732 JT6 AK6 Q2|65 AQ53 QJ72 876
KT85 AKT2 K7 Q52|Q762 J76 983 K73|AJ Q84 QJ652 J86|943 953 AT4 AT94
T6 AQ87 AT6 AK52|AQ943 T64 83 876|K852 KJ K942 Q93|J7 9532 QJ75 JT4
QJT2 K97 KT6 AQ4|9 J8542 J92 KJ93|A876 A6 AQ84 865|K543 QT3 753 T72
T84 KJ654 A8 AQJ|QJ975 73 96 9654|AK62 T Q7543 K87|3 AQ982 KJT2 T32
42 KJT62 AQ5 AJ6|Q5 A54 T83 T9752|KT873 Q93 K9 KQ8|AJ96 87 J7642 43
63 KQ53 AK5 AT85|JT J62 Q83 KQ632|AK852 AT8 62 J97|Q974 974 JT974 4
J973 AJ8 AJ3 AQ6|A854 94 T98 T732|QT62 KQ732 K6 J8|K T65 Q7542 K954
9532 A64 AK9 KQ9|AQJ76 T975 62 J3|K84 Q QJ87 AT854|T KJ832 T543 762
KQ4 JT864 AJ5 A4|AT92  643 KT7632|8 AKQ92 KT97 QJ5|J7653 753 Q82 98
AJ83 Q6 Q82 KQJ4|QT754 75 A964 85|K62 A42 KJT 9762|9 KJT983 753 AT3
AQ AQ963 K85 654|T864 87 JT643 72|J932 KJ AQ9 KT93|K75 T542 72 AQJ8
AT A96 AQT54 Q85|8654 QJ32 K32 96|QJ32 KT7 9 AJ742|K97 854 J876 KT3
53 K75 A73 AKJT9|K87 8432 962 872|AJ4 AQT K84 Q654|QT962 J96 QJT5 3
QJ98 A3 QT5 AQJ4|K72 QJ4 K832 982|A4 K98 AJ9764 T7|T653 T7652  K653
653 AQ943 AJ AT5|J82 87 QT64 J432|A97 K52 K52 Q876|KQT4 JT6 9873 K9
Q92 AQ53 A8 AT42|JT3 T94 KJ974 65|K75 KJ82 QT3 KQJ|A864 76 652 9873
AK98 J982 A2 KJ2|7 K76 KQT864 Q94|QT A53 J953 A865|J65432 QT4 7 T73
Q86 A53 A63 KQJ6|T95 8764 QJ9 872|J3 KQJT 752 AT53|AK742 92 KT84 94
AQ985 T3 AK2 Q97|T32 Q62 95 J5432|6 AK954 QT6 AKT6|KJ74 J87 J8743 8
K952 A98 Q4 AQT5|3 43 KJT2 KJ9742|QT6 KQT76 A93 83|AJ874 J52 8765 6
AK85 AT87 A98 63|T92 K54 JT AT982|643 Q KQ653 KQJ4|QJ7 J9632 742 75
T43 A42 AKT9 KQT|752 Q98 J8643 J8|AK8 T3 Q52 A7653|QJ96 KJ765 7 942
J4 QT4 AJT4 AK95|A2 J976 K832 T62|KQ95 K52 Q97 J74|T8763 A83 65 Q83
AQ853 KJ JT5 A75|T7 A985 8643 K83|KJ62 2 A7 QJT642|94 QT7643 KQ92 9
QT8 AK7 Q4 AJ654|K92 T5 T982 KQ73|A64 J8642 AK7 98|J753 Q93 J653 T2
T7642 AQ8 AKJ J3|8 JT732 7652 A92|AK95 K5 T94 KQ85|QJ3 964 Q83 T764
Q3 AKJ5 A82 Q543|AT754 7 643 JT72|K9862 Q4 KQ97 K8|J T98632 JT5 A96
KQ976 84 A72 AQT|54 T7 98653 J986|T3 AKJ63 KQJT K2|AJ82 Q952 4 7543
AQJ6 73 KQ83 K93|K7 QT954 JT9 AQJ|832 AKJ62 A72 84|T954 8 654 T7652
K93 KQ4 AT752 A3|J8642 A 6 KQJ984|AQ7 T63 KQ43 T76|T5 J98752 J98 52
AJ42 A95 AJT7 KT|T3 T73 Q932 8654|KQ76 KQ64 8 AJ93|985 J82 K654 Q72
J72 AQJ6 J53 AK9|Q94 98742 Q8 T87|AK85 T5 AKT2 QJ6|T63 K3 9764 5432
84 KJ2 KQT AQ952|T7 T953 873 KJ64|AK63 AQ74 A6 T83|QJ952 86 J9542 7
K3 K87 AJ73 A732|Q 932 QT954 Q964|A87542 AQT5 62 K|JT96 J64 K8 JT85
A543 KQ Q532 KJ7|KT986 J86 9 A542|Q7 AT9 AJT84 T83|J2 75432 K76 Q96
K8762 AT8 43 AKQ|5 KQJ43 82 T9865|AQT3 97 AT9765 J|J94 652 KQJ 7432
32 KQ5 AKJ93 AT3|T874 9642 Q6 542|K965 A3 8542 KJ7|AQJ JT87 T7 Q986
AK3 AJ8 JT9 KT86|Q65 T76543 AQ42 |T87 K K6 AQJ9432|J942 Q92 8753 75
K8 932 AKJ5 KQ75|J532 K874 62 T92|QT6 AQT6 T93 AJ6|A974 J5 Q874 843
AQJ7 K72 KQ84 Q8|T83 A93 J76 A642|K5 T84 A95 KJT75|9642 QJ65 T32 93
KQ A852 QJ3 A865|T9764 94 976 KJ9|A3 KQJT3 AT82 QT|J852 76 K54 7432
A985 KJ6 K9 A986|T64 QT954 T54 T4|KQ73  Q72 KQJ532|J2 A8732 AJ863 7
KJ95 Q72 AT3 AQ8|6 3 QJ9842 KT764|AQT72 AJ8654 K 9|843 KT9 765 J532
Q74 A2 KQJ4 A875|JT98 9763 9875 J|K63 KT AT62 KQ32|A52 QJ854 3 T964
52 KJ2 QT94 AKQ6|KJ9874 73 6 JT53|A6 AQ864 A753 87|QT3 T95 KJ82 942
KJ765 T97 AJ AK7|T94 J62 Q3 98653|A832 AK3 T76 QT2|Q Q854 K98542 J4
A94 AK874 KT Q98|KJ532 JT6 982 K3|Q876 5 AJ74 A764|T Q932 Q653 JT52
AK2 J842 JT AQ84|J975 T53 K7654 6|QT3 AK A32 K9532|864 Q976 Q98 JT7
K82 A2 K987 AQ52|Q95 T754 QJT6 K8|AT63 K83 A53 943|J74 QJ96 42 JT76
KQ5 JT4 KJ82 AJ4|82 AQ2 75 Q97652|A943 8653 A63 K8|JT76 K97 QT94 T3
A97 KQ A9863 KJ6|Q2 T87532 75 T94|KJT854 9 KQJT A5|63 AJ64 42 Q8732
KT9 K7 AT5 AQT65|J65432 854 Q93 8|AQ7 T9632 K84 KJ|8 AQJ J762 97432
A63 J43 KJ9 AK84|K AT98 76542 752|T974 K5 AQT QJ96|QJ852 Q762 83 T3
AQ2 J932 AJT KT4|KT8 Q7 KQ9832 J6|J643 AK65 7 A973|975 T84 654 Q852
K6 K83 AQ97 K983|Q87 AT4 J6532 75|A9432 J76  AQT64|JT5 Q952 KT84 J2
A65 QT7 KQJ9 KQ5|JT2 943 652 JT32|K87 AKJ52 A4 764|Q943 86 T873 A98
A65 Q82 AQJ72 QT|QJ973 964 83 KJ7|T82 AKJ3 54 A642|K4 T75 KT96 9853
K4 Q654 AK7 K752|T652 T2 QJT43 JT|A93 AK73 985 Q84|QJ87 J98 62 A963
AQ2 K4 K98 K9852|74 9876 7532 QJ6|K98653 A53 6 AT7|JT QJT2 AQJT4 43
K93 K965 AK74 KT|AJT6 AT7 T93 863|Q87 82 Q6 AQJ752|542 QJ43 J852 94
AJ2 AT J842 AK76|T965 J98652 5 QJ|Q4 K AK9763 9852|K873 Q743 QT T43
T96 AQ8 AJT86 A4|A3 6542 Q753 K75|KQJ5 KT73 4 QT93|8742 J9 K92 J862
K95 KT AKT94 KJ2|864 AJ5 Q82 T753|AQ3 Q9732 3 A964|JT72 864 J765 Q8
KJ3 J8 K742 AK85|8642 K92 AQT6 Q7|AQT9 AT754 93 J3|75 Q63 J85 T9642
Q83 KJ53 KQ2 KJ7|J42 764 9 AQ9543|AKT6 QT982 A5 T2|975 A JT87643 86
A74 AQT2 KJT5 KT|KJ92 KJ74 743 85|Q85 9 A862 AQ642|T63 8653 Q9 J973
QJ AT4 KQ98 KJ96|765 J96 7642 A74|AK8432 732 AJ5 2|T9 KQ85 T3 QT853
J72 AK52 Q72 KQ6|A9654 QJ 6543 A7|K T9873 AKJ98 T3|QT83 64 T J98542
82 A94 AKJT KT95|QJT4 J85 75 A874|AK653 76 Q943 Q3|97 KQT32 862 J62
KT8 KT8 43 AKQ95|9642 7 KJ865 J42|AQ73 962 AQT72 6|J5 AQJ543 9 T873
A97 J93 AKQ4 J52|4 K8764 T732 A87|KQJ65 QT J965 K4|T832 A52 8 QT963
A32 QJT5 AK9 Q54|JT964 AK J63 876|K75 6432 QT7 AKT|Q8 987 8542 J932
K84 AKQ65 853 K5|Q53 T9 A742 QJT6|AJ7 J874 JT A982|T962 32 KQ96 743
AQ74 T95 AQT KQ8|963 742 4 T65432|KJ52 AQ8 J963 A9|T8 KJ63 K8752 J7
AQ73 KQ97 864 AT|KJ9 T65 A752 Q75|642 A2 KQJ9 K863|T85 J843 T3 J942
AT74 KQ9 64 AK74|KJ98 J53 K52 QT8|Q3 A842 AJT93 65|652 T76 Q87 J932
AK74 865 AQJ QJT|Q83 K T9874 8653|JT9 Q73 K6 AK972|652 AJT942 532 4
QJ985 KQJ K6 KJT|T4 8652 542 AQ62|A762 943 AQJT 85|K3 AT7 9873 9743
AKQ5 K74 95 QJ98|973 85 Q432 7643|842 AQT932 AJ K5|JT6 J6 KT876 AT2
Q963 K986 A9 AQ3|T75 QJ732 72 J82|AK82 A4 T653 T75|J4 T5 KQJ84 K964
J5 AQ986 AT3 AJ6|AQ73 52 K864 T32|K84 KJT 72 KQ987|T962 743 QJ95 54
AJ5 K82 K97 A985|87643 AJ64 8 732|QT QT753 A32 KJT|K92 9 QJT654 Q64
A632 AKQ6 63 A87|T5 852 QJ2 95432|KJ9 T94 AT95 KT6|Q874 J73 K874 QJ
AKT9 KQ8 QJ J864|65 654 K86432 97|Q842 A932 AT AQ5|J73 JT7 975 KT32
QT75 T6 AKJ KQ87|J84 AJ9 87652 65|AK K8532 Q93 A94|9632 Q74 T4 JT32
AKJ Q92 Q54 AJT5|94 AKT83 T98 962|T853 J AK632 K87|Q762 7654 J7 Q43
KT3 KJ QJ82 KQ42|9642  AKT75 T987|Q87 AQT94 64 AJ3|AJ5 876532 93 65
AKJ KQ92 Q72 Q97|QT97 JT7 J85 864|652 543 AT93 AK5|843 A86 K64 JT32
KJ2 K543 A98 KQ6|T987 82 J3 JT732|AQ54 JT9 T764 A4|63 AQ76 KQ52 985
AQ QT42 J96 AQ96|T987 95 Q8743 85|KJ432 AK8 A J743|65 J763 KT52 KT2
KQ4 AQJ65 T94 A4|73 KT73 732 KJT9|A85 42 AKJ5 Q765|JT962 98 Q86 832
J5 K65 AT5 AQJ92|7 QJT73 J43 T654|AKT843 A9 K76 K8|Q962 842 Q982 73
AKT76 KJ6 Q87 K7|J54 754 JT54 A52|Q2 983 AK2 QJT43|983 AQT2 963 986
AKJ75 K7 T63 A32|8432 T 9752 K875| Q532 AKJ84 QJ96|QT96 AJ9864 Q T4
K96 KQT6 643 AK4|752 8543 AKJ9 Q3|AJ43 A72 QT5 986|QT8 J9 872 JT752
AQT QJ543 AJ8 J9|J952 K87 QT65 QT|843 A 974 AK8632|K76 T962 K32 754
765 J6 AKJ72 AQ2| Q8732 63 JT9874|KJT42 A4 QT K653|AQ983 KT95 9854 
AQ94 KQ KT97 JT3|87652 J73 532 K2|KJ AT8654 J AQ65|T3 92 AQ864 9874
974 AQT2 AK9 Q75|T3 K987543 Q6 T8|A5 J 87432 AKJ63|KQJ862 6 JT5 942
AQ9 KT654 Q6 AQ9|T864 73 KT82 JT3|KJ3 92 A975 K862|752 AQJ8 J43 754
AJT5 A75 J5 AK95|Q8632 Q94 94 743|K74 KJ83 AK762 J|9 T62 QT83 QT862
AQ6 QJ6 AKT43 52|743 7542 52 K843|KJT8 KT83 QJ87 Q|952 A9 96 AJT976
AKT5 JT5 AQT KT2|97 764 J96532 J6|J4 K983 K874 A73|Q8632 AQ2  Q9854
QT43 KJT6 K95 AK|J862 Q43 QJT 975|AK A952 A862 J64|975 87 743 QT832
AQJ7 QT92 T2 AK6|842 AJ8753  Q973|T63 K AKJ64 T854|K95 64 Q98753 J2
AKT6 KT7 Q932 AJ|Q854 92 AJT7 T93|J732 A53 K4 KQ76|9 QJ864 865 8542
942 AK9 AKT86 J2|83 T652 5 AKT763|AK5 QJ43 J732 84|QJT76 87 Q94 Q95
AT92 AQJ8 QJT Q5|QJ654 T65 732 42| 974 AK864 AJT98|K873 K32 95 K763
AT2 Q54 Q854 AQJ|Q54 T6 K73 T8764|KJ973 2 AJT9 K93|86 AKJ9873 62 52
A6 AK2 98732 KQ8|98754 83 AT65 96|KJT3 JT94 K4 A72|Q2 Q765 QJ JT543
AJ8 962 AKT7 K83|7632 QJ85 642 65|QT95 KT3 5 AQJ74|K4 A74 QJ983 T92
KQ87 AJT9 K94 A9|953 642 T5 JT752|A2 Q875 AQ62 Q43|JT64 K3 J873 K86
AK4 A75 87 AQT42|8732 9642 2 9653|QJ6 KQT83 KT J87|T95 J AQJ96543 K
KQ42 A864 T9 AQ2|5 973 KQ82 JT865|9873 QJ AJ7543 K|AJT6 KT52 6 9743
AQ95 QJT8 AQ7 Q3|J862 2 K8543 K74|K74 AK9643 62 A9|T3 75 JT9 JT8652
AQ9 K87 AK62 J85|754 T962 984 A43|J63 AQ43 QJ KQT6|KT82 J5 T753 972
KT82 AKQ4 Q2 K54|QJ75 952 9754 JT|43 83 AK86 A9762|A96 JT76 JT3 Q83
AQ87 AK74 T9 KT7|T T532 A8652 A64|KJ63 QJ86 K4 QJ8|9542 9 QJ73 9532
AJ95 KQ62 J5 AT4|K4 T3 T7632 QJ32|T A85 AKQ9 K9875|Q87632 J974 84 6
AT2 AKT3 T42 KQT|J8 QJ76542 Q53 6|KQ974 98 A8 A852|653  KJ976 J9743
KJT4 KQ3 AQJ4 65|8532 J987 T73 92|A T54 K9862 KQ87|Q976 A62 5 AJT43
AJ3 KT3 Q86 AK84|T862 J97 AJT93 T|K AQ852 K74 J632|Q9754 64 52 Q975
AT9 AJ864 KQ6 Q8|653 73 8743 KJ92|KQ84 Q2 AT9 T765|J72 KT95 J52 A43
K9 AQ93 A65 Q743|QJT86  KT987 KT5|A2 K52 Q432 A862|7543 JT8764 J J9
KJ52 A98 K5 AJ64|Q7 Q532 JT K9832|A98 KJT64 A972 Q|T643 7 Q8643 T75
AK52 QJ4 86 AQ62|83 A5 AT743 T874|J97 K8763 K2 KJ5|QT64 T92 QJ95 93
A5 AK2 K986 JT54|Q9432 4 JT432 97|KJ86 QT98763 A A|T7 J5 Q75 KQ8632
A8643 Q65 AKQ Q3|72 JT832 T8 K864|KJ95 K97 J95 A95|QT A4 76432 JT72
AQT JT54 KJ95 KQ|93 Q6 AT8763 JT7|KJ5 K8732 Q2 A82|87642 A9 4 96543
A96 AQJ2 AJ96 52|JT 643 T75 97643|K8 K875 K3 KQJT8|Q75432 T9 Q842 A
QJ3 Q64 AKJT6 K4|96542 AT8532 3 7|A7 J 54 AQJ96532|KT8 K97 Q9872 T8
K9654 A76 A74 A7|A87 JT T92 JT542|J KQ5 KJ53 KQ863|QT32 98432 Q86 9
AKQ9 A75 972 K72|T8652 J863 K4 Q8|3 KQ AQJT65 T543|J74 T942 83 AJ96
J8742 K86 AKJ KT| 972 87532 AQJ65|AQT9 AQT T4 9742|K653 J543 Q96 83
K5 AKT4 A87 QJ53|AQ963 Q7 96 T642|842 J982 KJ53 AK|JT7 653 QT42 987
AK7 AK Q96 T5432|J654 QJ7 JT75 K6|Q3 T42 AK843 AQ8|T982 98653 2 J97
A96 AQ9 Q6 KJ964|T432 6 987543 75|Q85 KJT832  AQ32|KJ7 754 AKJT2 T8
65 Q653 AQ9 AKT6|KJ9732 A8 75 874|AQT8 K J32 QJ532|4 JT9742 KT864 9
A92 A96 KJ973 A9|QJT7 J5 T65 K873|K KQ3 Q842 QJT42|86543 T8742 A 65
Q9 AJ4 KQ983 KQ6|A32 T72 T6 A7543|T65 KQ3 AJ4 JT92|KJ874 9865 752 8
AQ5 KJT AK652 52|J983 Q6 Q94 Q764|742 A952 J AKT83|KT6 8743 T873 J9
KQ65 AK62 K7 T64|942 J9753 84 Q87|JT7 4 AQJ92 AKJ2|A83 QT8 T653 953
872 AJ6 J84 AKQ7|J9653 82 QT5 985|KQT T543 AK973 J|A4 KQ97 62 T6432
AJ95 A965 A92 K3|T642 T84 J QJT64|Q8 KQ32 863 A875|K73 J7 KQT754 92
Q9862 AT9 AJ A32|K 742 K87643 K76|A7 K8653 QT2 QJ8|JT543 QJ 95 T954
AT AQJ2 AJ42 973|QJ9843 K54 T9 54|K 7 KQ7653 AJT86|7652 T9863 8 KQ2
KQ42 QT9 AKQT 84|65 J43 9652 9652|A98 A7652 8 AKT3|JT73 K8 J743 QJ7
95 AKJ9 A93 A743|8742 865 Q72 985|AK63 QT74 JT5 Q2|QJT 32 K864 KJT6
JT K43 AK2 KJ765|876 AJ952 94 Q32|AK942 Q8 QJ53 T4|Q53 T76 T876 A98
A87 A743 AJ5 A43|Q64 J965 432 KJ7|K932 Q KQ6 Q9852|JT5 KT82 T987 T6
KT53 AQ8 Q98 AJ6|J7 K96432 T3 T43|Q9842 T7 AK6 K75|A6 J5 J7542 Q982
Q2 AQJ52 KQ3 Q74|KT9764 763 J2 98|AJ3 98 T76 AKJT5|85 KT4 A9854 632
QJ KQ8 AQ52 K642|9763 42 J AJ9873|A82 AT73 KT9643 |KT54 J965 87 QT5
A82 632 AK6 A643|64 AT9 32 KQ9852|KJ5 KQ4 QJ754 J7|QT973 J875 T98 T
T973 KQ8 AK87 QJ|AQJ6 2 Q532 A943|K85 A JT64 KT652|42 JT976543 9 87
Q8 K86 AK42 A763|K AJT32 6 JT9542|AT53 Q4 QJT93 KQ|J97642 975 875 8
AKJ KQ6 A983 983|7 7543 J652 AT76|QT432 A82 KQ K42|9865 JT9 T74 QJ5
KQJ2 JT43 A65 AJ|T8754 62 J84 K82|A3 AQ97 K32 Q543|96 K85 QT97 T976
AQ5 K9 AQ962 765|T872 J654 T54 Q3|KJ964 T2 73 AKT8|3 AQ873 KJ8 J942
AKT85 A62 A9 Q74|QJ963 T85 Q6 953|42 3 KJT43 AKJ82|7 KQJ974 8752 T6
AKQT AK2 T52 T76|76543 Q753 Q87 4|J9 J984 AK KQ985|82 T6 J9643 AJ32
KQ93 AJ5 KT73 Q8|AJT542 T63 Q5 32|7 KQ42 A64 AKJT4|86 987 J982 9765
K986 A95 AQ QJT5|Q5 QJ43 62 K9742|AJT4 KT86 753 A3|732 72 KJT984 86
QJ96 AJ3 K854 A8|5 9875 972 KJ752|AK732 Q6 AJ3 963|T84 KT42 QT6 QT4
Q9 AQ64 974 AQJ7|KJ743 T9 Q852 65|A5 5 AKJ63 KT843|T862 KJ8732 T 92
AK5 9632 AQ84 Q5|J872 87 95 AT973|Q4 AJ54 KT3 KJ82|T963 KQT J762 64
K63 AQ4 KJ7 K942|84 T9 QT98632 87|AQJ72 K752  JT65|T95 J863 A54 AQ3
74 AJ8 AKJT KJ62|Q63 Q74 Q98 Q874|AKJT2 T2 763 A95|985 K9653 542 T3
J97 KJ94 AQ A532|Q53 Q3 9873 KT87|A82 AT75 T54 QJ9|KT64 862 KJ62 64
